Household size,1,2,3,4,5 and over,Overall
1985,2500,4400,4800,5000,6500,5000
1986,2800,5000,5400,5700,7300,5600
1987,3000,5500,6000,6300,8100,6300
1988,3600,6500,7000,7100,9300,7000
1989,4500,7800,8000,8500,11300,8500
1990,5000,9000,9500,9800,13000,10000
1991,6000,10000,10400,10900,14900,11000
1992,6500,11000,11500,12000,16400,12000
1993,7500,13000,13400,14000,18500,14000
1994,8500,15000,15000,15500,20700,15600
1995,10000,16000,16000,17000,22000,17000
1996,11000,18000,17500,19000,24100,19000
1997,12000,20000,19000,20000,26600,20000
1998,12000,20000,18600,20000,26000,20000
1999,12100,20000,18000,20000,25000,20000
2000,14000,20000,18600,20000,25700,20000
2001,13000,20000,18600,21000,27200,20100
2002,12500,20000,18000,20000,26000,20000
2003,12000,18800,16700,19500,25000,18800
2004,12500,18500,17100,19700,25500,19000
2005,12000,19000,17500,20000,26400,19400
2006,12500,19500,18000,21200,27900,20000
2007,12500,20000,19000,22100,29500,20500
2008,14000,20400,20000,23500,30900,21600
2009,13000,19700,19200,23300,31000,21000
2010,13500,20000,20000,24400,32000,21800
2011,15000,21000,21000,26200,35100,23500
2012,15000,22000,23000,29400,38500,25200
2013,15000,23000,24900,31400,41600,27000
2014,15000,24000,26000,33000,43900,28500
2015,17000,25000,27500,35800,46900,30000
2016,17000,25300,29500,37400,49200,31200
2017,18000,27000,30000,40000,53700,32800
2018,19000,28500,32800,43000,54500,35000
2019,20000,29000,33700,43800,58100,35800
2020,20000,27800,32600,42400,55900,34800
2021,20000,28300,33600,44500,57700,35000
2022,21000,30000,35300,45400,59300,36200
2023,22000,31000,37200,49000,64200,38300
2024,23500,31800,39000,50900,65800,39500
