"Year, Jan","Best lending rate by HSBC, %"
1980,14.50 
1981,17.00 
1982,16.00 
1983,10.50 
1984,13.15 
1985,10.65 
1986,7.00 
1987,5.68 
1988,5.33 
1989,10.00 
1990,10.00 
1991,9.94 
1992,8.50 
1993,6.50 
1994,6.50 
1995,8.50 
1996,8.75 
1997,8.50 
1998,9.98 
1999,8.83 
2000,8.50 
2001,9.11
2002,5.13 
2003,5.00
2004,5.00
2005,5.00
2006,7.75
2007,7.75
2008,6.56
2009,5.00
2010,5.00
2011,5.00
2012,5.00
2013,5.00
2014,5.00
2015,5.00
2016,5.00
2017,5.00
2018,5.00
2019,5.13
2020,5.00
2021,5.00
2022,5.00
2023,5.63
2024,5.88
2025,5.25
