Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,12558.3,10641.3,10720.5,14786.1,11128.5,10512.6,18225.3,13185.6,12357.6,19697.7,15097.5,14205.9,23261.1,21367.8,14254.2
2000,10792.5,9297,9433.2,13096.8,9513.3,9407.4,16487.1,11554.5,11197.2,18958.2,13991.7,12416.7,24066.6,21297.6,13376.7
2001,9576.6,7968,8364.9,11634.9,8495.1,8352.3,14807.4,10137.6,9805.5,17071.2,12290.4,10443.6,21093.6,17605.8,10702.8
2002,8703.6,6997.2,7336.5,10253.1,7416.6,7393.8,12634.8,9196.2,8856.6,15540.3,11274.6,9585.9,19717.5,14952,10597.8
2003,7723.8,6260.1,6252.9,9149.1,6606,6395.1,12112.5,8442.9,8022.9,14505.6,10261.2,9150,19884.3,16620,10338.3
2004,9760.5,7569.9,7983.3,12514.8,9917.4,8406.9,17042.4,14051.1,10709.4,19887.3,18621,12573.6,28343.4,22572,13344.9
2005,11747.4,8968.8,9158.7,14779.8,11660.4,9805.2,19990.2,16954.8,12475.2,24744.6,21913.8,14996.1,34607.4,28992.3,17145.3
2006,12854.7,9020.4,8678.7,15663.9,11427,9355.5,20799.6,17131.2,12464.7,25734.3,22625.7,14577,36092.4,29784.6,16829.4
2007,15687.6,11041.8,9754.2,18464.4,14337.3,10266,24971.7,22935,13416.3,31672.2,28697.4,17143.5,45215.4,38873.1,21064.5
2008,19199.1,12885.6,11311.5,21768.9,16062.9,11476.5,28961.1,24995.4,14618.1,37000.5,30798,17662.5,51649.8,41188.5,22233.9
2009,18549.6,13257,11764.5,21437.7,16601.4,11840.4,28586.4,25683.9,14756.7,36185.1,30406.8,17266.2,49250.7,43541.1,20767.5
2010,22767.6,16698.3,14461.8,25965.9,20918.4,14138.1,33921.9,32245.8,17757,44391,40111.2,19913.7,62151.3,49648.2,22411.8
2011,28049.1,20278.2,17427.9,30533.7,24582.3,16891.5,40606.5,37053.3,20406.6,50381.7,46298.1,21968.4,70485.3,64441.8,24053.4
2012,32497.8,23978.4,20348.4,33647.4,27899.1,19595.7,42621,38477.7,22624.8,53301.9,47431.8,23085.9,77814,55718.1,26279.4
2013,36991.2,28442.4,24939.6,37992.6,31020.3,22634.7,47844,41646.9,25692,55449,47310,23945.4,76564.5,58285.5,23599.2
2014,38673.6,31320.9,27430.8,38888.7,32646,24442.8,46116,41575.8,26882.1,55188.6,48077.7,25643.7,74995.2,70686,22103.1
2015,43954.5,35386.5,32328.9,44390.7,36298.2,28289.1,51554.4,44694,30409.2,59612.7,50087.4,29088.6,71612.1,61945.5,26620.2
2016,41267.4,33745.8,30804,42030.9,34737.6,27582.6,48819.3,44800.5,29343.3,59286.6,50394,28407.6,71621.1,69510,24764.1
2017,47487.9,39167.4,36489.9,48258,39318.3,31966.2,55816.2,48997.5,33841.5,64745.4,53992.2,30970.5,75481.8,82025.4,27535.5
2018,54123.3,44967,41523.6,52899,44148.3,36020.1,63174.9,53268.3,38476.8,69606.9,58498.8,34921.8,85910.7,81032.7,30962.7
2019,55037.1,47195.1,43399.5,54999,46074.6,37647,64138.8,56487.3,39753.6,74205.6,61313.7,36570.6,84418.5,73787.4,28693.8
2020,56104.8,48978.6,44932.8,54737.4,48113.7,39621,63423,56321.1,38807.4,70784.7,58944.6,36162.6,82075.8,75908.1,30500.1
2021,56878.8,49748.4,45829.5,55377.3,48367.5,40935.3,64389.9,56640.3,41222.4,73944.6,63197.1,37803,85885.8,68609.7,34772.1
2022,51925.2,45678,43049.4,52133.1,45677.1,39249,60851.4,51564.3,40496.4,68794.8,56399.7,35720.1,75016.5,65321.1,32464.2
2023,46224.3,40392.9,39004.5,47891.1,42716.4,36547.2,57826.5,48504.3,39212.1,64488.3,56199,36486.6,79542.6,60541.2,32642.1
2024,40139.4,34809.3,33570.6,42383.4,37929.6,32622.9,49954.8,47941.8,35434.2,61841.4,53177.7,33207.6,74638.8,59638.2,28859.1
