Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,196.53,166.53,167.77,231.39,174.15,164.51,285.21,206.35,193.39,308.26,236.27,222.31,364.02,334.39,223.07
2000,163.33,140.70,142.76,198.21,143.97,142.37,249.52,174.87,169.46,286.91,211.75,187.91,364.22,322.32,202.44
2001,154.11,128.22,134.61,187.23,136.70,134.40,238.28,163.13,157.79,274.71,197.78,168.06,339.44,283.31,172.23
2002,89.84,72.23,75.73,105.83,76.55,76.32,130.42,94.92,91.42,160.41,116.38,98.95,203.52,154.34,109.39
2003,78.43,63.57,63.50,92.91,67.08,64.94,123.00,85.74,81.47,147.30,104.20,92.92,201.92,168.77,104.98
2004,99.12,76.87,81.07,127.09,100.71,85.37,173.06,142.69,108.75,201.95,189.09,127.68,287.82,229.21,135.51
2005,119.29,91.08,93.00,150.09,118.41,99.57,203.00,172.17,126.68,251.28,222.53,152.28,351.43,294.41,174.11
2006,179.83,126.19,121.41,219.13,159.86,130.88,290.98,239.66,174.38,360.01,316.52,203.93,504.92,416.67,235.44
2007,219.46,154.47,136.46,258.31,200.57,143.62,349.34,320.85,187.69,443.08,401.46,239.83,632.54,543.82,294.68
2008,235.31,157.93,138.64,266.81,196.87,140.66,354.96,306.35,179.16,453.49,377.47,216.48,633.04,504.82,272.51
2009,188.37,134.62,119.47,217.70,168.58,120.24,290.29,260.82,149.85,367.45,308.78,175.34,500.13,442.15,210.89
2010,231.20,169.57,146.86,263.68,212.42,143.57,344.47,327.45,180.32,450.78,407.32,202.22,631.13,504.17,227.59
2011,284.83,205.92,176.98,310.06,249.63,171.53,412.35,376.27,207.23,511.62,470.15,223.09,715.77,654.39,244.26
2012,330.01,243.50,206.63,341.68,283.31,198.99,432.81,390.73,229.75,541.27,481.66,234.43,790.19,565.81,266.86
2013,375.64,288.83,253.26,385.81,315.01,229.85,485.85,422.92,260.90,563.07,480.42,243.16,777.50,591.88,239.65
2014,392.72,318.06,278.55,394.91,331.51,248.21,468.30,422.19,272.98,560.43,488.22,260.41,761.56,717.80,224.45
2015,446.35,359.34,328.29,450.78,368.60,287.27,523.53,453.86,308.80,605.36,508.63,295.39,727.21,629.05,270.32
2016,419.06,342.68,312.81,426.82,352.75,280.10,495.75,454.94,297.98,602.04,511.74,288.47,727.30,705.86,251.47
2017,482.23,397.74,370.55,490.05,399.27,324.61,566.80,497.56,343.65,657.48,548.28,314.50,766.50,832.95,279.62
2018,549.61,456.63,421.66,537.18,448.32,365.78,641.53,540.93,390.72,706.85,594.04,354.62,872.41,822.87,314.42
2019,568.09,487.15,447.97,567.70,475.58,388.59,662.04,583.06,410.34,765.95,632.88,377.48,871.37,761.64,296.18
2020,569.73,497.37,456.28,555.85,488.59,402.34,644.05,571.93,394.08,718.81,598.57,367.22,833.46,770.83,309.72
2021,577.59,505.19,465.39,562.35,491.16,415.69,653.87,575.17,418.61,750.89,641.75,383.88,872.15,696.72,353.10
2022,527.29,463.85,437.16,529.40,463.84,398.57,617.93,523.63,411.23,698.60,572.73,362.73,761.78,663.32,329.67
2023,507.49,443.47,428.23,525.79,468.98,401.25,634.87,532.52,430.50,708.01,617.00,400.58,873.29,664.67,358.37
2024,454.19,393.88,379.86,479.58,429.18,369.14,565.25,542.47,400.95,699.75,601.72,375.75,844.56,674.82,326.55
