Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,18.0746977547496,17.0862235067437,22.390350877193,20.8489847715736,19.6894904458599,25.1738505747126,20.4136424731183,20.0145719489982,24.5190476190476,19.9692822384428,22.4264705882353,22.2942561205273,21.0469598262758,31.9112903225806,22.6257142857143
2000,15.6141493055556,15.5572289156627,20.1564102564103,18.3737373737374,17.7354586129754,22.3347578347578,18.1736111111111,18.6603682170543,21.599537037037,19.0803140096618,19.9311965811966,18.745018115942,21.1555907172996,30.0304568527919,21.3548850574713
2001,14.2254901960784,14.4662309368192,19.3631944444444,16.9210296684119,16.1626712328767,20.7150297619048,16.1935695538058,15.304347826087,19.3173758865248,16.8156028368794,14.6523605150215,16.3898305084746,17.8638211382114,23.6256038647343,15.9838709677419
2002,14.6525252525253,14.5049751243781,19.4087301587302,16.952876984127,15.6073232323232,20.3349834983498,15.5985185185185,15.5762195121951,20.1653005464481,17.4767206477733,15.9787414965986,17.0689102564103,17.957650273224,21.859649122807,17.4191321499014
2003,14.1151315789474,14.2534153005464,18.676523297491,17.2885487528345,15.2916666666667,20.186553030303,17.6156195462478,14.937898089172,21.6367313915858,18.6543209876543,16.5717054263566,19.1102756892231,21.1625159642401,25.3663003663004,19.6695205479452
2004,16.2350299401198,16.822,22.3998316498316,20.6924603174603,20.5584577114428,24.5815789473684,22.2253521126761,22.8250487329435,26.0950292397661,23.607905982906,27.5132978723404,23.1302428256071,28.629696969697,39.4339622641509,22.4661616161616
2005,17.3572695035461,17.7952380952381,24.000786163522,22.3125,22.3379310344828,26.96699669967,22.8511659807956,24.4024179620035,28.4043715846995,26.1349809885932,29.6934959349593,25.8731884057971,30.2300838574423,40.0667495854063,27.0601325757576
2006,16.53125,16.2705627705628,21.3340707964602,21.0197262479871,20.4784946236559,24.2873831775701,22.3940568475452,24.03367003367,27.9227150537634,23.9879753914989,28.567803030303,23.6793372319688,28.2413145539906,41.997461928934,24.7345679012346
2007,17.7140921409214,18.0421568627451,21.3346456692913,21.6413502109705,23.4269607843137,24.1666666666667,24.0020184544406,28.9583333333333,25.8802083333333,26.2621890547264,33.2145833333333,24.4209401709402,31.7167508417508,47.360014619883,26.0055555555556
2008,19.1837529976019,18.0774410774411,21.5211187214612,22.3133456334563,22.088696369637,22.9346522781775,23.9427083333333,26.2998737373737,23.8857843137255,25.8889588581024,29.3986254295533,20.6144957983193,30.3322762508809,41.9093406593407,23.6631545338442
2009,21.8333333333333,20.3453038674033,23.8534063260341,26.3491887905605,26.5028735632184,26.1031746031746,29.1936274509804,31.0192028985507,28.8667840375587,33.0638706140351,35.7895480225989,26.3525641025641,37.7921270718232,49.5686475409836,27.6016746411483
2010,22.1906432748538,22.7373366013072,24.1997991967871,26.2281818181818,26.7772657450077,25.8371710526316,28.815749235474,32.2200239808153,28.3477011494253,34.4436685288641,38.8222996515679,24.8053064275037,42.210880195599,51.2682775712515,26.7188841201717
2011,23.5390231621349,23.3727524204703,26.3102355072464,27.0114118895966,28.4517361111111,27.9290674603175,31.419452181987,35.7381365740741,29.8342105263158,35.0749791144528,43.0119843924192,25.2162534435262,41.7468017057569,60.8860544217687,26.4090909090909
2012,27.7758974358974,28.1040787623066,29.286701208981,30.7450657894737,33.4040948275862,31.1042857142857,34.2172447013487,38.0364768683274,33.0771929824561,37.867220801364,48.9795539033457,25.754016064257,46.4838709677419,52.8233788395904,25.4349593495935
2013,27.2555260831123,26.9647326507395,28.8652777777778,30.4135446685879,30.9955035971223,30.670325203252,34.6997389033943,37.8058278867102,31.7185185185185,36.7601431980907,42.3924731182796,27.2602459016393,44.5868273934312,47.4792277614858,25.6067708333333
2014,27.0596137699412,27.9750803858521,30.1172595520422,30.1743482309125,30.2277777777778,31.1452599388379,32.7621483375959,35.9776739356179,32.8953744493392,37.209142394822,41.4748964803313,28.493,44.7038626609442,59.6808510638298,24.8572874493927
2015,28.0680076628352,28.4915458937198,33.015625,31.4559948979592,31.1198559670782,33.0171568627451,34.0158353127474,34.9718309859155,33.9236947791165,37.8061263318113,39.8658070678128,31.5631510416667,42.6872317596567,50.3131091617934,28.884765625
2016,27.6220883534137,28.4918946301925,32.1679197994987,31.3850806451613,31.9514348785872,33.9019174041298,34.3314345991561,37.8254812563323,34.9824749642346,39.0248815165877,42.939672801636,31.9473684210526,45.9463048498845,55.3247373447947,29.2719858156028
2017,29.1838126843658,30.7339924670433,34.2435247747748,33.2630272952854,33.3998470948012,35.3764940239044,35.8071593533487,38.2315074906367,36.295045045045,40.5063813813814,42.9737344794651,33.6051432291667,46.1831864904552,61.9153079710145,31.8697916666667
2018,30.8078893442623,31.9458653026428,36.7335456475584,34.3321651090343,34.7405571293673,37.4740948813983,38.568315018315,39.3530585106383,39.5851851851852,42.7771017699115,42.6500437445319,36.0613382899628,50.3461673699015,60.8353603603604,34.1299603174603
2019,30.1540105193951,33.5287723785166,38.150052742616,35.3645833333333,36.5671428571429,39.3139097744361,39.5918518518519,42.2935759209344,40.7478474784748,45.0058224163028,46.9189623507805,37.9048507462687,50.1059472934473,53.6557591623037,32.6659836065574
2020,35.0217228464419,36.7707207207207,41.7435897435897,38.5909475465313,40.4997474747475,43.3300524934383,43.0745721271394,45.085734870317,42.1087239583333,47.1520783373301,48.1573529411765,39.5479002624672,53.897951142632,60.0728869895537,36.8358695652174
2021,35.4252615844544,36.6551724137931,41.4671552660152,39.2412840136054,40.5903826787513,43.7342948717949,43.8384395424837,44.952619047619,43.5386565272497,49.1391547049442,50.3001432664756,40.543758043758,56.533570300158,50.0216535433071,40.0784923928077
2022,32.412734082397,33.7455673758865,38.9516829533116,37.9094677137871,39.281991744066,42.7549019607843,42.2579166666667,42.1276960784314,43.7704280155642,46.2703793381759,47.3310674723061,39.2183794466403,48.8007416081187,53.3669117647059,39.7261380323054
2023,28.1580774853801,28.1915829145729,34.6152822151225,35.0081140350877,35.2096933728981,39.5019455252918,38.8932606941082,38.6057784145177,42.5478515625,42.2486242138365,44.2233238904627,40.7034805890228,50.7934865900383,44.489417989418,40.4787946428571
2024,23.1805266805267,22.5390442890443,28.3439716312057,29.7302188552189,29.0247933884298,33.4388068880689,32.5735524256651,36.0898825654923,36.590458488228,39.3994648318043,41.2614059590317,36.4598155467721,46.5910112359551,43.4807524059493,36.2733785822021
